organism,genome,symbol,gene_id,gene_number,chr,start,end,strand
Mus musculus,mm10,Fos,ENSMUSG00000021250.13,6191,chr12,85473890,85477273,+
Mus musculus,mm10,Fosb,ENSMUSG00000003545.3,6192,chr7,19302696,19310051,-
Mus musculus,mm10,Fosl1,ENSMUSG00000024912.6,6193,chr19,5447547,5455946,+
Mus musculus,mm10,Fosl2,ENSMUSG00000029135.10,6194,chr5,32135801,32157842,+
Mus musculus,mm10,Foxa1,ENSMUSG00000035451.7,6195,chr12,57540628,57546916,-
Mus musculus,mm10,Foxa2,ENSMUSG00000037025.11,6196,chr2,148042877,148046969,-
Mus musculus,mm10,Foxa3,ENSMUSG00000040891.6,6197,chr7,19013284,19023538,-
Mus musculus,mm10,Foxb1,ENSMUSG00000059246.4,6198,chr9,69757710,69760940,-
Mus musculus,mm10,Foxb2,ENSMUSG00000056829.4,6199,chr19,16872319,16873805,-
Mus musculus,mm10,Foxc1,ENSMUSG00000050295.4,6200,chr13,31806633,31812476,+
Mus musculus,mm10,Foxc2,ENSMUSG00000046714.7,6201,chr8,121116171,121118895,+
Mus musculus,mm10,Foxd1,ENSMUSG00000078302.5,6202,chr13,98354242,98359305,+
Mus musculus,mm10,Foxd2,ENSMUSG00000055210.4,6203,chr4,114906282,114908873,-
Mus musculus,mm10,Foxd3,ENSMUSG00000067261.4,6204,chr4,99656299,99658622,+
Mus musculus,mm10,Foxd4,ENSMUSG00000051490.3,6205,chr19,24899236,24901197,-
Mus musculus,mm10,Foxe1,ENSMUSG00000070990.2,6206,chr4,46343609,46346412,+
Mus musculus,mm10,Foxe3,ENSMUSG00000044518.3,6207,chr4,114925147,114926013,-
Mus musculus,mm10,Foxf1,ENSMUSG00000042812.5,6208,chr8,121084386,121088144,+
Mus musculus,mm10,Foxf2,ENSMUSG00000038402.2,6209,chr13,31625816,31631403,+
Mus musculus,mm10,Foxg1,ENSMUSG00000020950.10,6210,chr12,49382660,49386861,+
Mus musculus,mm10,Foxh1,ENSMUSG00000033837.5,6211,chr15,76668225,76669948,-
Mus musculus,mm10,Foxi1,ENSMUSG00000047861.2,6212,chr11,34204338,34208089,-
Mus musculus,mm10,Foxi2,ENSMUSG00000048377.7,6213,chr7,135410308,135413622,+
Mus musculus,mm10,Foxi3,ENSMUSG00000055874.6,6214,chr6,70956531,70961066,+
Mus musculus,mm10,Foxj1,ENSMUSG00000034227.7,6215,chr11,116330704,116335399,-
Mus musculus,mm10,Foxj2,ENSMUSG00000003154.15,6216,chr6,122819914,122845366,+
Mus musculus,mm10,Foxj3,ENSMUSG00000032998.16,6217,chr4,119537004,119629119,+
Mus musculus,mm10,Foxk1,ENSMUSG00000056493.9,6218,chr5,142401497,142462011,+
Mus musculus,mm10,Foxk2,ENSMUSG00000039275.9,6219,chr11,121259990,121309896,+
Mus musculus,mm10,Foxl1,ENSMUSG00000097084.1,6220,chr8,121127940,121130644,+
Mus musculus,mm10,Foxl2,ENSMUSG00000050397.4,6221,chr9,98955288,98958543,+
Mus musculus,mm10,Foxm1,ENSMUSG00000001517.14,6222,chr6,128362967,128376146,+
Mus musculus,mm10,Foxn1,ENSMUSG00000002057.4,6223,chr11,78357577,78386558,-
Mus musculus,mm10,Foxn2,ENSMUSG00000034998.18,6224,chr17,88440711,88490533,+
Mus musculus,mm10,Foxn3,ENSMUSG00000033713.12,6225,chr12,99190078,99563582,-
Mus musculus,mm10,Foxn4,ENSMUSG00000042002.11,6226,chr5,114254164,114273807,-
Mus musculus,mm10,Foxo1,ENSMUSG00000044167.6,6227,chr3,52268336,52353221,+
Mus musculus,mm10,Foxo3,ENSMUSG00000048756.11,6228,chr10,42181841,42276755,-
Mus musculus,mm10,Foxo4,ENSMUSG00000042903.8,6229,chrX,101254528,101260873,+
Mus musculus,mm10,Foxo6,ENSMUSG00000052135.8,6230,chr4,120267079,120287349,-
Mus musculus,mm10,Foxp1,ENSMUSG00000030067.17,6231,chr6,98925338,99522721,-
Mus musculus,mm10,Foxp2,ENSMUSG00000029563.16,6232,chr6,14901349,15441977,+
Mus musculus,mm10,Foxp3,ENSMUSG00000039521.13,6233,chrX,7573644,7595245,+
Mus musculus,mm10,Foxp4,ENSMUSG00000023991.16,6234,chr17,47867133,47924645,-
Mus musculus,mm10,Foxq1,ENSMUSG00000038415.10,6235,chr13,31556134,31560976,+
Mus musculus,mm10,Foxr1,ENSMUSG00000074397.5,6236,chr9,44433773,44441136,-
Mus musculus,mm10,Foxr2,ENSMUSG00000071665.10,6237,chrX,153118786,153132861,+
Mus musculus,mm10,Foxred1,ENSMUSG00000039048.15,6238,chr9,35204206,35211055,-
Mus musculus,mm10,Foxred2,ENSMUSG00000016552.13,6239,chr15,77940522,77956722,-
Mus musculus,mm10,Foxs1,ENSMUSG00000074676.2,6240,chr2,152931898,152933208,-
Mus musculus,mm10,Fpgs,ENSMUSG00000009566.12,6241,chr2,32682609,32704145,-
Mus musculus,mm10,Fpgt,ENSMUSG00000053870.7,6242,chr3,155084918,155093403,-
Mus musculus,mm10,Fpr-rs3,ENSMUSG00000060701.1,6243,chr17,20623846,20624877,-
Mus musculus,mm10,Fpr-rs4,ENSMUSG00000048062.4,6244,chr17,18021733,18022704,+
Mus musculus,mm10,Fpr-rs6,ENSMUSG00000071275.1,6245,chr17,20182078,20183097,-
Mus musculus,mm10,Fpr-rs7,ENSMUSG00000071276.1,6246,chr17,20113210,20114226,-
Mus musculus,mm10,Fpr1,ENSMUSG00000045551.7,6247,chr17,17876471,17883940,-
Mus musculus,mm10,Fpr2,ENSMUSG00000052270.7,6248,chr17,17887824,17893952,+
Mus musculus,mm10,Fpr3,ENSMUSG00000079700.7,6249,chr17,17887852,17971677,+
Mus musculus,mm10,Fra10ac1,ENSMUSG00000054237.6,6250,chr19,38188481,38224156,-
Mus musculus,mm10,Fras1,ENSMUSG00000034687.8,6251,chr5,96373955,96784728,+
Mus musculus,mm10,Frat1,ENSMUSG00000067199.4,6252,chr19,41829970,41832583,+
Mus musculus,mm10,Frat2,ENSMUSG00000047604.3,6253,chr19,41845972,41848132,-
Mus musculus,mm10,Frem1,ENSMUSG00000059049.14,6254,chr4,82897920,83052339,-
Mus musculus,mm10,Frem2,ENSMUSG00000037016.11,6255,chr3,53513938,53657355,-
Mus musculus,mm10,Frem3,ENSMUSG00000042353.9,6256,chr8,80611080,80695356,+
Mus musculus,mm10,Frg1,ENSMUSG00000031590.8,6257,chr8,41397459,41417074,-
Mus musculus,mm10,Frg2f1,ENSMUSG00000087385.8,6258,chr4,119530308,119539529,-
Mus musculus,mm10,Frk,ENSMUSG00000019779.15,6259,chr10,34483399,34611278,+
Mus musculus,mm10,Frmd3,ENSMUSG00000049122.17,6260,chr4,74013442,74202214,+
Mus musculus,mm10,Frmd4a,ENSMUSG00000026657.17,6261,chr2,4017717,4614043,+
Mus musculus,mm10,Frmd4b,ENSMUSG00000030064.16,6262,chr6,97286867,97617541,-
Mus musculus,mm10,Frmd5,ENSMUSG00000027238.17,6263,chr2,121545529,121807087,-
Mus musculus,mm10,Frmd6,ENSMUSG00000048285.9,6264,chr12,70825514,70902234,+
Mus musculus,mm10,Frmd7,ENSMUSG00000036131.12,6265,chrX,50895180,50942710,-
Mus musculus,mm10,Frmd8,ENSMUSG00000024816.12,6266,chr19,5849702,5875274,-
Mus musculus,mm10,Frmpd1,ENSMUSG00000035615.12,6267,chr4,45184875,45285936,+
Mus musculus,mm10,Frmpd2,ENSMUSG00000108841.1,6268,chr14,33471696,33575269,+
Mus musculus,mm10,Frmpd3,ENSMUSG00000042425.18,6269,chrX,140342263,140435467,+
Mus musculus,mm10,Frmpd4,ENSMUSG00000049176.16,6270,chrX,167471309,168577231,-
Mus musculus,mm10,Frrs1,ENSMUSG00000033386.10,6271,chr3,116859464,116908177,+
Mus musculus,mm10,Frrs1l,ENSMUSG00000045589.7,6272,chr4,56957173,56990391,-
Mus musculus,mm10,Frs2,ENSMUSG00000020170.4,6273,chr10,117069427,117148534,-
Mus musculus,mm10,Frs3,ENSMUSG00000023266.11,6274,chr17,47689030,47704286,+
Mus musculus,mm10,Fry,ENSMUSG00000056602.12,6275,chr5,150118645,150497753,+
Mus musculus,mm10,Fryl,ENSMUSG00000070733.13,6276,chr5,73019987,73256619,-
Mus musculus,mm10,Frzb,ENSMUSG00000027004.3,6277,chr2,80411970,80447625,-
Mus musculus,mm10,Fsbp,ENSMUSG00000094595.1,6278,chr4,11579665,11587591,+
Mus musculus,mm10,Fscb,ENSMUSG00000043060.8,6279,chr12,64471330,64474690,-
Mus musculus,mm10,Fscn1,ENSMUSG00000029581.14,6280,chr5,142960343,142973185,+
Mus musculus,mm10,Fscn2,ENSMUSG00000025380.2,6281,chr11,120361534,120368168,+
Mus musculus,mm10,Fscn3,ENSMUSG00000029707.6,6282,chr6,28427789,28438622,+
Mus musculus,mm10,Fsd1,ENSMUSG00000011589.9,6283,chr17,55986509,55996881,+
Mus musculus,mm10,Fsd1l,ENSMUSG00000054752.16,6284,chr4,53631471,53707009,+
Mus musculus,mm10,Fsd2,ENSMUSG00000038663.7,6285,chr7,81533308,81566944,-
Mus musculus,mm10,Fshb,ENSMUSG00000027120.6,6286,chr2,107056140,107059656,-
Mus musculus,mm10,Fshr,ENSMUSG00000032937.5,6287,chr17,88984952,89200675,-
Mus musculus,mm10,Fsip1,ENSMUSG00000027344.14,6288,chr2,118130424,118256966,-
Mus musculus,mm10,Fsip2,ENSMUSG00000075249.12,6289,chr2,82943634,83008937,+
Mus musculus,mm10,Fsip2l,ENSMUSG00000079606.1,6290,chrX,48841466,48877713,-
Mus musculus,mm10,Fst,ENSMUSG00000021765.9,6291,chr13,114452290,114458951,-
Mus musculus,mm10,Fstl1,ENSMUSG00000022816.11,6292,chr16,37776873,37836514,+
Mus musculus,mm10,Fstl3,ENSMUSG00000020325.10,6293,chr10,79777272,79782630,+
Mus musculus,mm10,Fstl4,ENSMUSG00000036264.9,6294,chr11,52764634,53188538,+
Mus musculus,mm10,Fstl5,ENSMUSG00000034098.14,6295,chr3,76074270,76710019,+
Mus musculus,mm10,Ftcd,ENSMUSG00000001155.13,6296,chr10,76575648,76590338,+
Mus musculus,mm10,Ftdc1,ENSMUSG00000075002.2,6297,chr16,58613675,58616978,-
Mus musculus,mm10,Ftdc2,ENSMUSG00000055789.7,6298,chr16,58635167,58638739,-
Mus musculus,mm10,Fth1,ENSMUSG00000024661.7,6299,chr19,9980598,9985098,+
Mus musculus,mm10,Fthl17a,ENSMUSG00000035491.5,6300,chrX,85249679,85270288,+
Mus musculus,mm10,Fthl17b,ENSMUSG00000078208.1,6301,chrX,8962134,8962975,-
Mus musculus,mm10,Fthl17c,ENSMUSG00000060685.4,6302,chrX,8975710,8976559,-
Mus musculus,mm10,Fthl17d,ENSMUSG00000078206.1,6303,chrX,8985900,8986755,-
Mus musculus,mm10,Fthl17e,ENSMUSG00000071815.6,6304,chrX,9033493,9034333,+
Mus musculus,mm10,Fthl17f,ENSMUSG00000072249.3,6305,chrX,9063015,9063861,+
Mus musculus,mm10,Ftl1,ENSMUSG00000050708.16,6306,chr7,45457944,45459884,-
Mus musculus,mm10,Ftl1-ps1,ENSMUSG00000062382.9,6307,chr13,74399694,74407346,+
Mus musculus,mm10,Ftmt,ENSMUSG00000024510.6,6308,chr18,52331549,52332996,+
Mus musculus,mm10,Fto,ENSMUSG00000055932.15,6309,chr8,91313525,91668439,+
Mus musculus,mm10,Ftsj1,ENSMUSG00000031171.11,6310,chrX,8238668,8252406,-
Mus musculus,mm10,Ftsj3,ENSMUSG00000020706.13,6311,chr11,106249142,106256079,-
Mus musculus,mm10,Fubp1,ENSMUSG00000028034.15,6312,chr3,152210422,152236826,+
Mus musculus,mm10,Fubp3,ENSMUSG00000026843.15,6313,chr2,31572651,31617526,+
Mus musculus,mm10,Fuca1,ENSMUSG00000028673.10,6314,chr4,135920735,135940311,+
Mus musculus,mm10,Fuca2,ENSMUSG00000019810.15,6315,chr10,13499540,13519035,+
Mus musculus,mm10,Fundc1,ENSMUSG00000025040.13,6316,chrX,17556564,17572325,-
Mus musculus,mm10,Fundc2,ENSMUSG00000031198.4,6317,chrX,75382399,75396459,+
Mus musculus,mm10,Fuom,ENSMUSG00000025466.19,6318,chr7,140096770,140102441,-
Mus musculus,mm10,Furin,ENSMUSG00000030530.15,6319,chr7,80388585,80405436,-
Mus musculus,mm10,Fus,ENSMUSG00000030795.18,6320,chr7,127967457,127985701,+
Mus musculus,mm10,Fut1,ENSMUSG00000008461.6,6321,chr7,45617289,45621059,+
Mus musculus,mm10,Fut10,ENSMUSG00000046152.16,6322,chr8,31187331,31261738,+
Mus musculus,mm10,Fut11,ENSMUSG00000039357.2,6323,chr14,20694968,20701016,+
Mus musculus,mm10,Fut2,ENSMUSG00000055978.5,6324,chr7,45648591,45666394,-
Mus musculus,mm10,Fut4,ENSMUSG00000049307.6,6325,chr9,14748320,14752393,-
Mus musculus,mm10,Fut7,ENSMUSG00000036587.13,6326,chr2,25423267,25426374,+
Mus musculus,mm10,Fut8,ENSMUSG00000021065.16,6327,chr12,77238125,77476338,+
Mus musculus,mm10,Fut9,ENSMUSG00000055373.8,6328,chr4,25609332,25800244,-
Mus musculus,mm10,Fuz,ENSMUSG00000011658.16,6329,chr7,44896079,44902631,+
Mus musculus,mm10,Fv1,ENSMUSG00000070583.1,6330,chr4,147868979,147870358,+
Mus musculus,mm10,Fxn,ENSMUSG00000059363.10,6331,chr19,24261453,24280605,-
Mus musculus,mm10,Fxr1,ENSMUSG00000027680.15,6332,chr3,34019943,34070322,+
Mus musculus,mm10,Fxr2,ENSMUSG00000018765.5,6333,chr11,69632990,69653297,+
Mus musculus,mm10,Fxyd1,ENSMUSG00000036570.14,6334,chr7,31051678,31057199,-
Mus musculus,mm10,Fxyd2,ENSMUSG00000059412.7,6335,chr9,45399669,45410278,+
Mus musculus,mm10,Fxyd3,ENSMUSG00000057092.12,6336,chr7,31068172,31076704,-
Mus musculus,mm10,Fxyd4,ENSMUSG00000004988.9,6337,chr6,117933559,117937692,-
Mus musculus,mm10,Fxyd5,ENSMUSG00000009687.14,6338,chr7,31032722,31042481,-
Mus musculus,mm10,Fxyd6,ENSMUSG00000066705.7,6339,chr9,45370185,45396159,+
Mus musculus,mm10,Fxyd7,ENSMUSG00000036578.7,6340,chr7,31042513,31051467,-
Mus musculus,mm10,Fyb,ENSMUSG00000022148.16,6341,chr15,6522853,6663313,+
Mus musculus,mm10,Fyb2,ENSMUSG00000078612.9,6342,chr4,104913456,105016863,+
Mus musculus,mm10,Fyco1,ENSMUSG00000025241.16,6343,chr9,123789500,123851899,-
Mus musculus,mm10,Fyn,ENSMUSG00000019843.14,6344,chr10,39368855,39565381,+
Mus musculus,mm10,Fyttd1,ENSMUSG00000022800.14,6345,chr16,32877500,32908875,+
Mus musculus,mm10,Fzd1,ENSMUSG00000044674.6,6346,chr5,4753839,4758035,-
Mus musculus,mm10,Fzd10,ENSMUSG00000081683.5,6347,chr5,128600844,128604093,+
Mus musculus,mm10,Fzd2,ENSMUSG00000050288.6,6348,chr11,102604396,102608058,+
Mus musculus,mm10,Fzd3,ENSMUSG00000007989.7,6349,chr14,65192449,65262463,-
Mus musculus,mm10,Fzd4,ENSMUSG00000049791.4,6350,chr7,89404355,89413134,+
Mus musculus,mm10,Fzd5,ENSMUSG00000045005.9,6351,chr1,64730558,64737751,-
Mus musculus,mm10,Fzd6,ENSMUSG00000022297.15,6352,chr15,39006034,39038188,+
Mus musculus,mm10,Fzd7,ENSMUSG00000041075.8,6353,chr1,59482424,59486955,+
Mus musculus,mm10,Fzd8,ENSMUSG00000036904.6,6354,chr18,9212163,9218136,+
Mus musculus,mm10,Fzd9,ENSMUSG00000049551.2,6355,chr5,135248938,135251230,-
Mus musculus,mm10,Fzr1,ENSMUSG00000020235.16,6356,chr10,81366222,81378516,-
Mus musculus,mm10,G0s2,ENSMUSG00000009633.3,6357,chr1,193272161,193273217,-
Mus musculus,mm10,G2e3,ENSMUSG00000035293.13,6358,chr12,51348061,51376986,+
Mus musculus,mm10,G3bp1,ENSMUSG00000018583.5,6359,chr11,55469685,55504838,+
Mus musculus,mm10,G3bp2,ENSMUSG00000029405.16,6360,chr5,92052146,92083719,-
Mus musculus,mm10,G430095P16Rik,ENSMUSG00000074203.4,6361,chr8,84723007,84726844,+
Mus musculus,mm10,G530012D18Rik,ENSMUSG00000094127.1,6362,chr1,85575676,85577295,+
Mus musculus,mm10,G6pc,ENSMUSG00000078650.2,6363,chr11,101367561,101377903,+
Mus musculus,mm10,G6pc2,ENSMUSG00000005232.11,6364,chr2,69211073,69227841,+
Mus musculus,mm10,G6pc3,ENSMUSG00000034793.15,6365,chr11,102189620,102194081,+
Mus musculus,mm10,G6pd2,ENSMUSG00000089992.3,6366,chr5,61808816,61811163,+
Mus musculus,mm10,G6pdx,ENSMUSG00000031400.10,6367,chrX,74409483,74429194,-
Mus musculus,mm10,Gaa,ENSMUSG00000025579.14,6368,chr11,119267887,119285454,+
Mus musculus,mm10,Gab1,ENSMUSG00000031714.9,6369,chr8,80764438,80880519,-
Mus musculus,mm10,Gab2,ENSMUSG00000004508.6,6370,chr7,97081586,97308946,+
Mus musculus,mm10,Gab3,ENSMUSG00000032750.13,6371,chrX,74966843,75085458,-
Mus musculus,mm10,Gabarap,ENSMUSG00000018567.14,6372,chr11,69991143,69994951,+
Mus musculus,mm10,Gabarapl1,ENSMUSG00000030161.8,6373,chr6,129533160,129542346,+
Mus musculus,mm10,Gabarapl2,ENSMUSG00000031950.7,6374,chr8,111940703,111953612,+
Mus musculus,mm10,Gabbr1,ENSMUSG00000024462.17,6375,chr17,37045966,37075067,+
Mus musculus,mm10,Gabbr2,ENSMUSG00000039809.10,6376,chr4,46662305,46991873,-
Mus musculus,mm10,Gabpa,ENSMUSG00000008976.16,6377,chr16,84834925,84863779,+
Mus musculus,mm10,Gabpb1,ENSMUSG00000027361.15,6378,chr2,126627442,126676337,-
Mus musculus,mm10,Gabpb2,ENSMUSG00000038766.16,6379,chr3,95181766,95217916,-
Mus musculus,mm10,Gabra1,ENSMUSG00000010803.13,6380,chr11,42130939,42182930,-
Mus musculus,mm10,Gabra2,ENSMUSG00000000560.9,6381,chr5,70957597,71095849,-
Mus musculus,mm10,Gabra3,ENSMUSG00000031343.13,6382,chrX,72432681,72656848,-
Mus musculus,mm10,Gabra4,ENSMUSG00000029211.11,6383,chr5,71569749,71658308,-
Mus musculus,mm10,Gabra5,ENSMUSG00000055078.7,6384,chr7,57407672,57510059,-
Mus musculus,mm10,Gabra6,ENSMUSG00000020428.13,6385,chr11,42306437,42321072,-
Mus musculus,mm10,Gabrb1,ENSMUSG00000029212.11,6386,chr5,71658113,72149037,+
Mus musculus,mm10,Gabrb2,ENSMUSG00000007653.12,6387,chr11,42419757,42629028,+
Mus musculus,mm10,Gabrb3,ENSMUSG00000033676.13,6388,chr7,57419692,57828802,+
Mus musculus,mm10,Gabrd,ENSMUSG00000029054.8,6389,chr4,155384980,155398112,-
Mus musculus,mm10,Gabre,ENSMUSG00000031340.8,6390,chrX,72255999,72274803,-
Mus musculus,mm10,Gabrg1,ENSMUSG00000001260.10,6391,chr5,70751047,70842617,-
Mus musculus,mm10,Gabrg2,ENSMUSG00000020436.17,6392,chr11,41910203,42000857,-
Mus musculus,mm10,Gabrg3,ENSMUSG00000055026.13,6393,chr7,56716465,57387188,-
Mus musculus,mm10,Gabrp,ENSMUSG00000020159.8,6394,chr11,33550781,33578959,-
Mus musculus,mm10,Gabrq,ENSMUSG00000031344.11,6395,chrX,72825178,72842602,+
Mus musculus,mm10,Gabrr1,ENSMUSG00000028280.9,6396,chr4,33132521,33163588,+
Mus musculus,mm10,Gabrr2,ENSMUSG00000023267.10,6397,chr4,33062999,33095865,+
Mus musculus,mm10,Gabrr3,ENSMUSG00000074991.5,6398,chr16,59407332,59464504,+
Mus musculus,mm10,Gad1,ENSMUSG00000070880.10,6399,chr2,70553072,70602014,+
Mus musculus,mm10,Gad2,ENSMUSG00000026787.3,6400,chr2,22622205,22693874,+
Mus musculus,mm10,Gadd45a,ENSMUSG00000036390.8,6401,chr6,67035096,67037457,-
Mus musculus,mm10,Gadd45b,ENSMUSG00000015312.9,6402,chr10,80930073,80932204,+
Mus musculus,mm10,Gadd45g,ENSMUSG00000021453.2,6403,chr13,51846678,51848468,+
Mus musculus,mm10,Gadd45gip1,ENSMUSG00000033751.5,6404,chr8,84831522,84835482,+
Mus musculus,mm10,Gadl1,ENSMUSG00000056880.12,6405,chr9,115909455,116076176,+
Mus musculus,mm10,Gak,ENSMUSG00000062234.14,6406,chr5,108569411,108629755,-
Mus musculus,mm10,Gal,ENSMUSG00000024907.7,6407,chr19,3409915,3414544,-
Mus musculus,mm10,Gal3st1,ENSMUSG00000049721.14,6408,chr11,3983636,3999326,+
Mus musculus,mm10,Gal3st2,ENSMUSG00000094651.2,6409,chr1,93861306,93876494,+
Mus musculus,mm10,Gal3st2b,ENSMUSG00000093805.7,6410,chr1,93918311,93942650,+
Mus musculus,mm10,Gal3st2c,ENSMUSG00000073608.4,6411,chr1,93990509,94017147,+
Mus musculus,mm10,Gal3st3,ENSMUSG00000047658.6,6412,chr19,5298331,5308738,+
Mus musculus,mm10,Gal3st4,ENSMUSG00000075593.10,6413,chr5,138264921,138272840,-
Mus musculus,mm10,Galc,ENSMUSG00000021003.10,6414,chr12,98202294,98259459,-
Mus musculus,mm10,Gale,ENSMUSG00000028671.16,6415,chr4,135963727,135968178,+
Mus musculus,mm10,Galk1,ENSMUSG00000020766.4,6416,chr11,116008457,116012719,-
Mus musculus,mm10,Galk2,ENSMUSG00000027207.15,6417,chr2,125859109,125984299,+
Mus musculus,mm10,Galm,ENSMUSG00000035473.10,6418,chr17,80127471,80185101,+
Mus musculus,mm10,Galns,ENSMUSG00000015027.11,6419,chr8,122578242,122611463,-
Mus musculus,mm10,Galnt1,ENSMUSG00000000420.15,6420,chr18,24205344,24286818,+
Mus musculus,mm10,Galnt10,ENSMUSG00000020520.14,6421,chr11,57645442,57787514,+
Mus musculus,mm10,Galnt11,ENSMUSG00000038072.14,6422,chr5,25221904,25265918,+
Mus musculus,mm10,Galnt12,ENSMUSG00000039774.12,6423,chr4,47091909,47123070,+
Mus musculus,mm10,Galnt13,ENSMUSG00000060988.12,6424,chr2,54436317,55118309,+
Mus musculus,mm10,Galnt14,ENSMUSG00000024064.14,6425,chr17,73493228,73710453,-
Mus musculus,mm10,Galnt15,ENSMUSG00000021903.11,6426,chr14,32028989,32062197,+
Mus musculus,mm10,Galnt16,ENSMUSG00000021130.8,6427,chr12,80518277,80630972,+
Mus musculus,mm10,Galnt17,ENSMUSG00000034040.16,6428,chr5,130872082,131308497,-
Mus musculus,mm10,Galnt18,ENSMUSG00000038296.14,6429,chr7,111471661,111779977,-
Mus musculus,mm10,Galnt2,ENSMUSG00000089704.9,6430,chr8,124231391,124345724,+
Mus musculus,mm10,Galnt2l,ENSMUSG00000092329.1,6431,chr8,119910841,124345722,+
Mus musculus,mm10,Galnt3,ENSMUSG00000026994.9,6432,chr2,66082766,66124994,-
Mus musculus,mm10,Galnt4,ENSMUSG00000090035.3,6433,chr10,99108159,99113247,+
Mus musculus,mm10,Galnt5,ENSMUSG00000026828.11,6434,chr2,57997884,58045860,+
Mus musculus,mm10,Galnt6,ENSMUSG00000037280.12,6435,chr15,100691813,100729376,-
Mus musculus,mm10,Galnt7,ENSMUSG00000031608.13,6436,chr8,57523828,57653032,-
Mus musculus,mm10,Galnt9,ENSMUSG00000033316.14,6437,chr5,110544355,110621380,+
Mus musculus,mm10,Galntl5,ENSMUSG00000028938.9,6438,chr5,25181460,25220297,+
Mus musculus,mm10,Galntl6,ENSMUSG00000096914.3,6439,chr8,57774052,58912640,-
Mus musculus,mm10,Galp,ENSMUSG00000034660.8,6440,chr7,6197090,6216137,+
Mus musculus,mm10,Galr1,ENSMUSG00000024553.8,6441,chr18,82392380,82406777,-
Mus musculus,mm10,Galr2,ENSMUSG00000020793.5,6442,chr11,116280939,116283938,+
Mus musculus,mm10,Galr3,ENSMUSG00000114755.1,6443,chr15,79041885,79043558,+
Mus musculus,mm10,Galt,ENSMUSG00000036073.17,6444,chr4,41755228,41758695,+
Mus musculus,mm10,Gamt,ENSMUSG00000020150.13,6445,chr10,80258151,80261012,-
Mus musculus,mm10,Gan,ENSMUSG00000052557.11,6446,chr8,117158135,117215997,+
Mus musculus,mm10,Ganab,ENSMUSG00000071650.6,6447,chr19,8898071,8916672,+
Mus musculus,mm10,Ganc,ENSMUSG00000062646.12,6448,chr2,120403896,120461700,+
Mus musculus,mm10,Gap43,ENSMUSG00000047261.9,6449,chr16,42248442,42340651,-
Mus musculus,mm10,Gapdh,ENSMUSG00000057666.18,6450,chr6,125161715,125166467,-
Mus musculus,mm10,Gapdhs,ENSMUSG00000061099.12,6451,chr7,30729775,30743681,-
Mus musculus,mm10,Gapt,ENSMUSG00000046006.6,6452,chr13,110352616,110357199,-
Mus musculus,mm10,Gapvd1,ENSMUSG00000026867.18,6453,chr2,34674594,34755232,-
Mus musculus,mm10,Gar1,ENSMUSG00000028010.16,6454,chr3,129824912,129831396,-
Mus musculus,mm10,Garem1,ENSMUSG00000042680.8,6455,chr18,21127201,21300138,-
Mus musculus,mm10,Garem2,ENSMUSG00000044576.6,6456,chr5,30105161,30118378,+
Mus musculus,mm10,Garnl3,ENSMUSG00000038860.15,6457,chr2,32986224,33131654,-
Mus musculus,mm10,Gars,ENSMUSG00000029777.10,6458,chr6,55038007,55079500,+
Mus musculus,mm10,Gart,ENSMUSG00000022962.15,6459,chr16,91621186,91646952,-
Mus musculus,mm10,Gas1,ENSMUSG00000052957.8,6460,chr13,60174405,60177365,-
Mus musculus,mm10,Gas2,ENSMUSG00000030498.15,6461,chr7,51862015,51994975,+
Mus musculus,mm10,Gas2l1,ENSMUSG00000034201.13,6462,chr11,5054132,5065327,-
Mus musculus,mm10,Gas2l2,ENSMUSG00000020686.12,6463,chr11,83421902,83429455,-
Mus musculus,mm10,Gas2l3,ENSMUSG00000074802.11,6464,chr10,89408823,89443967,-
Mus musculus,mm10,Gas6,ENSMUSG00000031451.6,6465,chr8,13465374,13494490,-
Mus musculus,mm10,Gas7,ENSMUSG00000033066.16,6466,chr11,67455091,67688990,+
Mus musculus,mm10,Gas8,ENSMUSG00000040220.10,6467,chr8,123518834,123536650,+
Mus musculus,mm10,Gask1a,ENSMUSG00000038233.10,6468,chr9,121950988,121980209,+
Mus musculus,mm10,Gask1b,ENSMUSG00000027955.16,6469,chr3,79884533,79946280,+
Mus musculus,mm10,Gast,ENSMUSG00000017165.1,6470,chr11,100334407,100336996,+
Mus musculus,mm10,Gata1,ENSMUSG00000031162.14,6471,chrX,7959260,7978071,-
Mus musculus,mm10,Gata2,ENSMUSG00000015053.14,6472,chr6,88193891,88207032,+
Mus musculus,mm10,Gata3,ENSMUSG00000015619.10,6473,chr2,9857078,9890034,-
Mus musculus,mm10,Gata4,ENSMUSG00000021944.15,6474,chr14,63198922,63271692,-
Mus musculus,mm10,Gata5,ENSMUSG00000015627.5,6475,chr2,180325133,180334699,-
Mus musculus,mm10,Gata6,ENSMUSG00000005836.10,6476,chr18,11052064,11085635,+
Mus musculus,mm10,Gatad1,ENSMUSG00000007415.15,6477,chr5,3632932,3657185,-
Mus musculus,mm10,Gatad2a,ENSMUSG00000036180.15,6478,chr8,69907076,69996384,-
Mus musculus,mm10,Gatad2b,ENSMUSG00000042390.9,6479,chr3,90293178,90363407,+
Mus musculus,mm10,Gatb,ENSMUSG00000028085.12,6480,chr3,85574119,85655622,+
Mus musculus,mm10,Gatc,ENSMUSG00000029536.8,6481,chr5,115333239,115341178,-
